date,Asset_A,Asset_B
2025-05-06,101.3432,121.3772
2025-05-07,101.2616,121.3175
2025-05-08,101.2460,121.5926
2025-05-09,102.0075,122.6092
2025-05-12,101.1930,121.4991
2025-05-13,101.1992,121.5193
2025-05-14,101.3178,121.7606
2025-05-15,101.3151,121.4967
2025-05-16,100.8259,120.8981
2025-05-19,100.7373,120.5568
2025-05-20,100.4542,120.8091
2025-05-21,100.2517,120.7260
2025-05-22,100.3112,120.5699
2025-05-23,100.2706,120.3184
2025-05-26,101.3739,122.2060
2025-05-27,100.7370,120.8929
2025-05-28,101.5326,121.8312
2025-05-29,101.4222,121.6959
2025-05-30,100.6922,120.6105
2025-06-02,99.8928,119.7635
2025-06-03,99.3536,119.1878
2025-06-04,100.0383,120.1949
2025-06-05,99.6858,119.4361
2025-06-06,99.8463,119.8869
2025-06-09,99.4372,119.3540
2025-06-10,99.0069,119.1204
2025-06-11,99.6140,120.0690
2025-06-12,100.6326,121.0704
2025-06-13,100.7514,120.9588
2025-06-16,100.1897,120.2967
2025-06-17,99.6873,120.0615
2025-06-18,99.9931,120.1424
2025-06-19,100.1415,120.0635
2025-06-20,99.6360,119.2098
2025-06-23,99.6132,119.4778
2025-06-24,99.9466,119.7798
2025-06-25,100.1515,119.7356
2025-06-26,99.4832,119.4098
2025-06-27,99.4791,119.3336
2025-06-30,99.7826,119.8473
2025-07-01,100.0801,120.3748
2025-07-02,100.1718,120.4426
2025-07-03,99.5273,119.3098
2025-07-04,99.4076,118.8575
2025-07-07,99.7584,119.5921
2025-07-08,99.1662,119.4434
2025-07-09,99.6547,119.8165
2025-07-10,99.9899,120.2023
2025-07-11,100.3879,120.4512
2025-07-14,99.8049,119.6917
2025-07-15,99.9175,120.1100
2025-07-16,99.9098,120.2736
2025-07-17,99.4436,119.7736
2025-07-18,99.4155,119.7595
2025-07-21,99.1704,119.4812
2025-07-22,99.8994,119.5784
2025-07-23,100.0976,120.0601
2025-07-24,100.4446,120.5813
2025-07-25,99.5979,119.5169
2025-07-28,100.0069,119.9096
2025-07-29,100.2221,120.0948
2025-07-30,100.5239,120.7497
2025-07-31,101.2240,121.2544
2025-08-01,100.6042,120.3833
2025-08-04,100.1023,119.7995
2025-08-05,99.7564,119.6597
2025-08-06,99.7834,119.7997
2025-08-07,98.5928,118.5181
2025-08-08,98.1490,117.9556
2025-08-11,98.5693,118.6708
2025-08-12,97.5537,116.8704
2025-08-13,98.1637,118.2985
2025-08-14,98.1081,118.1821
2025-08-15,98.3085,118.1157
2025-08-18,96.7689,115.9189
2025-08-19,97.4504,116.8205
2025-08-20,97.2861,116.4115
2025-08-21,98.3932,117.8887
2025-08-22,99.3217,119.4856
2025-08-25,100.0508,120.2313
2025-08-26,99.4282,119.7118
2025-08-27,99.2138,119.0293
2025-08-28,98.9378,118.7084
2025-08-29,99.0374,118.9976
2025-09-01,99.2737,119.3261
2025-09-02,99.6918,119.7215
2025-09-03,98.5170,118.4370
2025-09-04,98.9580,119.3809
2025-09-05,99.3467,119.5107
2025-09-08,98.6662,118.7652
2025-09-09,98.8194,118.6865
2025-09-10,98.4968,117.9845
2025-09-11,99.6229,119.5018
2025-09-12,98.9951,118.5586
2025-09-15,99.4390,119.0502
2025-09-16,99.9456,119.8838
2025-09-17,99.5215,119.5109
2025-09-18,99.3182,119.4157
2025-09-19,99.5231,119.5583
2025-09-22,99.2112,119.4157
2025-09-23,99.3506,119.3245
2025-09-24,99.7255,120.1690
2025-09-25,99.8890,120.3400
2025-09-26,99.5612,119.3624
2025-09-29,99.0520,118.5356
2025-09-30,98.6358,118.0719
2025-10-01,98.8228,117.9696
2025-10-02,98.2025,117.4624
2025-10-03,97.9983,117.5005
2025-10-06,98.3377,117.7873
2025-10-07,98.2168,117.5363
2025-10-08,99.3931,119.1266
2025-10-09,99.5407,119.4615
2025-10-10,99.8359,119.7103
2025-10-13,99.6119,119.5323
2025-10-14,100.1534,120.6720
2025-10-15,99.6905,119.9017
2025-10-16,99.5085,119.4496
2025-10-17,99.7385,119.5218
2025-10-20,100.0980,120.3420
2025-10-21,100.6575,121.2237
2025-10-22,100.3308,120.5636
2025-10-23,100.4210,120.4928
2025-10-24,100.6942,120.8064
2025-10-27,100.6907,121.1706
2025-10-28,100.1025,120.3449
2025-10-29,99.4636,119.5075
2025-10-30,100.2121,120.2095
2025-10-31,100.0165,119.9981
2025-11-03,99.0955,119.0273
2025-11-04,98.9932,118.7845
2025-11-05,99.5510,119.5488
2025-11-06,100.4903,120.9509
2025-11-07,100.7042,120.7084
2025-11-10,100.6340,121.0372
2025-11-11,100.4969,120.7958
2025-11-12,100.9434,121.3469
2025-11-13,100.0311,120.1587
2025-11-14,100.7159,121.1431
2025-11-17,100.9575,121.0562
2025-11-18,100.0060,119.7369
2025-11-19,99.4200,119.2049
2025-11-20,100.5291,120.6747
2025-11-21,101.0167,121.3105
2025-11-24,101.0326,121.4832
2025-11-25,100.5233,120.6927
2025-11-26,100.5154,120.8195
2025-11-27,100.4560,120.7860
2025-11-28,100.4316,120.3103
2025-12-01,100.3084,119.9714
2025-12-02,100.5252,120.3255
2025-12-03,99.9586,119.8882
2025-12-04,100.4464,120.3778
2025-12-05,100.5480,120.5647
2025-12-08,100.5975,120.5707
2025-12-09,100.2496,120.1851
2025-12-10,100.2376,120.2017
2025-12-11,100.4080,120.3081
2025-12-12,102.7811,123.2100
2025-12-15,102.1602,122.3691
2025-12-16,102.5493,122.8231
